name,z,x
codes combine,2321,5350
SHARP ONE,2317,5436
STARBUCKS,2370,5650
P.F.CHANG'S,2518,5483
Eden's valley,2707,5382
emart24,2709,5239
MUZZEL,1335,6180
Fun it,1398,6168
YEWON KOREA,1458,6157
PHOTOISM COLORED,1544,6141
KOREA CELADON,1607,6130
FLOUNDER ROOM,1641,6122
Weeny Beeny,1719,6106
TM,1847,6078
GOWA,1927,6062
SHOGUN,2294,5938
cafe MAMAS,2870,5871
